"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400138","19","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","10","6","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","149","123","1","1","20141115","POR","BKN"
"Shot Chart Detail","0021400138","51","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-213","6","1","1","20141115","POR","BKN"
"Shot Chart Detail","0021400138","63","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","4","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","197","1","0","20141115","POR","BKN"
"Shot Chart Detail","0021400138","173","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","9","26","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20141115","POR","BKN"
"Shot Chart Detail","0021400138","194","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","7","27","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","11","1","0","20141115","POR","BKN"
"Shot Chart Detail","0021400138","197","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","7","0","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","23","250","1","1","20141115","POR","BKN"
"Shot Chart Detail","0021400138","300","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","8","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-101","160","1","0","20141115","POR","BKN"
"Shot Chart Detail","0021400183","388","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","10","28","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","37","17","1","1","20141121","POR","CHI"
"Shot Chart Detail","0021400183","425","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","7","33","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","24","78","1","0","20141121","POR","CHI"
"Shot Chart Detail","0021400183","430","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","7","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","140","238","1","0","20141121","POR","CHI"
"Shot Chart Detail","0021400183","449","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","5","13","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","50","1","0","20141121","POR","CHI"
"Shot Chart Detail","0021400183","461","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","4","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","64","25","1","0","20141121","POR","CHI"
"Shot Chart Detail","0021400183","472","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","2","30","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-40","260","1","1","20141121","POR","CHI"
"Shot Chart Detail","0021400328","136","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","10","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","2","268","1","0","20141212","CHI","POR"
"Shot Chart Detail","0021400328","141","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","9","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","99","99","1","0","20141212","CHI","POR"
"Shot Chart Detail","0021400394","438","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","8","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","73","239","1","0","20141220","NOP","POR"
"Shot Chart Detail","0021400394","461","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","7","4","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","11","1","0","20141220","NOP","POR"
"Shot Chart Detail","0021400394","496","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","4","20","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141220","NOP","POR"
"Shot Chart Detail","0021400394","544","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","0","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-93","246","1","1","20141220","NOP","POR"
"Shot Chart Detail","0021400411","2","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","11","36","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141222","HOU","POR"
"Shot Chart Detail","0021400411","7","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","10","29","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-45","242","1","1","20141222","HOU","POR"
"Shot Chart Detail","0021400411","49","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-43","242","1","1","20141222","HOU","POR"
"Shot Chart Detail","0021400411","55","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","13","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","92","127","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400411","306","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","11","25","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","44","1","1","20141222","HOU","POR"
"Shot Chart Detail","0021400411","311","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","10","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-193","149","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400411","341","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","8","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","42","250","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400411","349","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","7","54","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141222","HOU","POR"
"Shot Chart Detail","0021400411","450","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","10","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-116","143","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400411","513","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","5","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","132","206","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400411","550","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","1","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","42","242","1","0","20141222","HOU","POR"
"Shot Chart Detail","0021400441","76","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","108","179","1","0","20141226","POR","PHI"
"Shot Chart Detail","0021400441","91","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","4","8","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141226","POR","PHI"
"Shot Chart Detail","0021400441","126","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","1","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-26","145","1","0","20141226","POR","PHI"
"Shot Chart Detail","0021400441","353","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","2","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","2","250","1","0","20141226","POR","PHI"
"Shot Chart Detail","0021400456","462","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","0","45","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","42","1","0","20141228","POR","NYK"
"Shot Chart Detail","0021400456","469","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","0","29","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","-3","1","1","20141228","POR","NYK"
"Shot Chart Detail","0021400517","124","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","11","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","88","231","1","0","20150105","POR","LAL"
"Shot Chart Detail","0021400517","136","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","10","17","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","105","222","1","1","20150105","POR","LAL"
"Shot Chart Detail","0021400517","166","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","7","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-19","143","1","1","20150105","POR","LAL"
"Shot Chart Detail","0021400517","187","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","5","48","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","124","211","1","1","20150105","POR","LAL"
"Shot Chart Detail","0021400517","379","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","9","21","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","9","1","1","20150105","POR","LAL"
"Shot Chart Detail","0021400537","214","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","2","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","3","1","0","20150108","POR","MIA"
"Shot Chart Detail","0021400537","235","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","0","53","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","11","1","0","20150108","POR","MIA"
"Shot Chart Detail","0021400537","238","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","0","28","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","129","15","1","1","20150108","POR","MIA"
"Shot Chart Detail","0021400537","241","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","13","250","1","0","20150108","POR","MIA"
"Shot Chart Detail","0021400537","385","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","10","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-101","224","1","0","20150108","POR","MIA"
"Shot Chart Detail","0021400537","410","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","8","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","0","1","0","20150108","POR","MIA"
"Shot Chart Detail","0021400537","422","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","6","52","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","1","1","1","20150108","POR","MIA"
"Shot Chart Detail","0021400557","31","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","8","47","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","166","211","1","1","20150110","POR","ORL"
"Shot Chart Detail","0021400557","56","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","53","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","58","41","1","1","20150110","POR","ORL"
"Shot Chart Detail","0021400557","106","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","2","38","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20150110","POR","ORL"
"Shot Chart Detail","0021400557","110","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","2","7","Made Shot","Turnaround Bank shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","111","-2","1","1","20150110","POR","ORL"
"Shot Chart Detail","0021400557","124","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","29","89","279","1","0","20150110","POR","ORL"
"Shot Chart Detail","0021400557","297","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","7","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-144","220","1","0","20150110","POR","ORL"
"Shot Chart Detail","0021400557","560","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","0","19","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150110","POR","ORL"
"Shot Chart Detail","0021400562","70","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","4","4","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-4","58","1","1","20150111","LAL","POR"
"Shot Chart Detail","0021400562","127","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","10","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","99","162","1","1","20150111","LAL","POR"
"Shot Chart Detail","0021400562","134","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","9","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","6","200","1","1","20150111","LAL","POR"
"Shot Chart Detail","0021400562","146","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","8","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-183","209","1","0","20150111","LAL","POR"
"Shot Chart Detail","0021400562","369","203086","Meyers Leonard","1610612757","Portland Trail Blazers","4","10","48","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","37","254","1","1","20150111","LAL","POR"
"Shot Chart Detail","0021400583","56","203086","Meyers Leonard","1610612757","Portland Trail Blazers","1","5","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","-3","1","1","20150114","POR","LAC"
"Shot Chart Detail","0021400583","109","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","11","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-112","165","1","0","20150114","POR","LAC"
"Shot Chart Detail","0021400583","130","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","9","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-123","153","1","1","20150114","POR","LAC"
"Shot Chart Detail","0021400583","144","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","8","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","0","146","1","0","20150114","POR","LAC"
"Shot Chart Detail","0021400583","175","203086","Meyers Leonard","1610612757","Portland Trail Blazers","2","4","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","12","208","1","1","20150114","POR","LAC"
"Shot Chart Detail","0021400583","347","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","2","48","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","59","67","1","1","20150114","POR","LAC"
"Shot Chart Detail","0021400583","382","203086","Meyers Leonard","1610612757","Portland Trail Blazers","3","0","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","-3","1","0","20150114","POR","LAC"
